,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
0,9.007219870584013e+16,"[-64.4784, -3.64515, -1502.5]","[-56.0501, -2.48028, -1302.5]","[-55.8177, -2.45316, -1297.5]","[-47.55, -1.51038, -1102.5]","[-47.3328, -1.46583, -1097.5]","[-41.6098, -0.992724, -962.5]","[-41.4263, -0.977745, -957.5]","[-35.6617, -0.574758, -822.5]","[-35.4869, -0.575136, -818.0]","[-35.4716, -0.593764, -817.5]","[-30.4909, -0.318269, -702.5]","[-30.3137, -0.297534, -697.5]",,,,,,,
1,5.404375902815519e+17,"[-65.3973, -10.4883, -1502.5]","[-65.1817, -10.4295, -1498.0]","[-56.7216, -9.00308, -1302.5]","[-56.5185, -8.96673, -1298.0]","[-48.0364, -7.51707, -1102.5]","[-47.8407, -7.50043, -1098.0]","[-41.9633, -6.53756, -962.5]","[-41.7576, -6.50279, -958.0]","[-35.8902, -5.55804, -822.5]","[-35.6907, -5.50904, -818.0]","[-35.6878, -5.4919, -817.5]","[-30.7104, -4.69899, -702.5]","[-30.5106, -4.67678, -698.0]","[-30.4867, -4.64736, -697.5]",,,,,
2,2.341955643994276e+17,"[-57.6442, -0.148168, -1502.5]","[-57.4395, -0.118714, -1497.5]","[-50.0346, -0.0508283, -1302.5]","[-49.8428, -0.014424, -1297.5]","[-42.4251, 0.0465118, -1102.5]","[-37.0967, 0.0650153, -962.5]","[-31.7677, 0.132942, -822.5]","[-31.7172, 0.132906, -822.0]","[-31.5799, 0.103048, -817.5]",,,,,,,,,,
3,1.1709565189593498e+17,"[-90.221, -7.77764, -1502.5]","[-78.3042, -6.48868, -1302.5]","[-66.3795, -5.29941, -1102.5]","[-58.0319, -4.54213, -962.5]","[-49.6843, -3.78485, -822.5]","[-49.4146, -3.76463, -818.0]","[-49.3755, -3.76264, -817.5]","[-42.5104, -3.1701, -702.5]","[-42.2636, -3.17907, -698.0]","[-42.2197, -3.17226, -697.5]","[-36.5663, -2.70229, -602.5]","[-36.3064, -2.67447, -598.0]","[-36.2532, -2.63874, -597.5]",,,,,,
4,5.2692198103606886e+17,"[-65.9708, -13.4926, -1502.5]","[-65.7741, -13.4513, -1498.0]","[-57.3941, -11.2127, -1302.5]","[-57.1905, -11.1335, -1298.0]","[-48.7038, -9.07423, -1102.5]","[-48.4939, -9.0456, -1098.0]","[-42.606, -7.69154, -962.5]","[-42.3993, -7.68526, -958.0]","[-36.5003, -6.40854, -822.5]","[-36.3081, -6.32573, -818.0]","[-31.2744, -5.29508, -702.5]","[-31.0736, -5.2233, -698.0]","[-31.0424, -5.25564, -697.5]",,,,,,
5,2.3419563311890432e+17,"[-65.74, -13.4243, -1502.5]","[-65.567, -13.3502, -1498.0]","[-57.0105, -11.7843, -1302.5]","[-56.8083, -11.7616, -1298.0]","[-48.2372, -10.0907, -1102.5]","[-48.073, -10.0758, -1098.0]","[-42.1337, -8.90823, -962.5]","[-41.9434, -8.86133, -958.0]","[-42.1095, -8.91847, -962.0]","[-36.0414, -7.67644, -822.5]","[-35.8169, -7.6476, -818.0]","[-36.0133, -7.69222, -822.0]","[-30.7856, -6.61079, -702.5]","[-30.6045, -6.55047, -698.0]","[-30.7976, -6.61419, -702.0]",,,,
6,7.83629290099966e+17,"[-96.7273, -14.0073, -1502.5]","[-83.7618, -13.1374, -1302.5]","[-83.472, -13.1238, -1298.0]","[-70.876, -11.9728, -1102.5]","[-70.5926, -11.9343, -1098.0]","[-61.8673, -11.013, -962.5]","[-61.5806, -10.9533, -958.0]","[-52.9303, -9.85825, -822.5]","[-52.6427, -9.83597, -818.0]","[-45.2609, -8.75311, -702.5]","[-44.986, -8.71764, -698.0]","[-38.8253, -7.69492, -602.5]","[-38.5362, -7.63198, -598.0]","[-38.7868, -7.70455, -602.0]",,,,,
7,1.1710307359942246e+17,"[-99.3758, -2.57989, -1502.5]","[-86.2789, -2.10084, -1302.5]","[-73.1539, -1.66973, -1102.5]","[-72.852, -1.66423, -1097.5]","[-63.9781, -1.39898, -962.5]","[-63.6331, -1.38668, -957.5]","[-54.8023, -1.12822, -822.5]","[-54.4741, -1.15457, -817.5]","[-46.9163, -0.958964, -702.5]","[-46.5673, -0.924222, -697.5]","[-40.3278, -0.791526, -602.5]","[-40.0008, -0.789002, -597.5]",,,,,,,
9,6.305055970993111e+17,"[-90.0805, -0.243382, -1502.5]","[-89.7916, -0.230743, -1497.5]","[-78.2347, 0.638747, -1302.5]","[-77.9181, 0.640356, -1297.5]","[-66.2765, 1.27895, -1102.5]","[-65.9604, 1.30421, -1097.5]","[-57.8911, 1.53766, -962.5]","[-57.5944, 1.49842, -957.5]","[-49.5472, 1.64263, -822.5]","[-49.2322, 1.64278, -817.5]","[-42.2845, 1.66252, -702.5]","[-42.2765, 1.69097, -702.0]","[-42.0074, 1.67603, -697.5]","[-36.2719, 1.63418, -602.5]","[-36.2183, 1.62488, -602.0]","[-35.9719, 1.65241, -597.5]",,,
10,2.16172988272214e+17,"[-94.3843, 0.671764, -1502.5]","[-94.0611, 0.656979, -1497.5]","[-82.0682, 1.18967, -1302.5]","[-81.7638, 1.24395, -1297.5]","[-69.6578, 1.56453, -1102.5]","[-69.3389, 1.57011, -1097.5]","[-60.9469, 1.79871, -962.5]","[-60.6186, 1.78659, -957.5]","[-52.1931, 1.88579, -822.5]","[-51.8639, 1.90005, -817.5]","[-44.6709, 1.87595, -702.5]","[-44.3626, 1.86139, -697.5]","[-38.3892, 1.81863, -602.5]","[-38.3667, 1.83216, -602.0]","[-38.0909, 1.81919, -597.5]",,,,
